<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,5,20200110,000000,1.11067,1.11072,1.11066,1.11072,0,0
EURUSD,5,20200110,000500,1.11071,1.11072,1.1107,1.11071,0,0
EURUSD,5,20200110,001000,1.11071,1.11077,1.11065,1.11077,0,0
EURUSD,5,20200110,001500,1.11076,1.11078,1.11075,1.11077,0,0
EURUSD,5,20200110,002000,1.11085,1.11085,1.11066,1.11072,0,0
EURUSD,5,20200110,002500,1.11072,1.11073,1.1107,1.11071,0,0
EURUSD,5,20200110,003000,1.1107,1.11071,1.11066,1.11066,0,0
EURUSD,5,20200110,003500,1.11065,1.11076,1.11065,1.11074,0,0
EURUSD,5,20200110,004000,1.11075,1.11075,1.1107,1.1107,0,0
EURUSD,5,20200110,004500,1.11071,1.11083,1.11071,1.11082,0,0
EURUSD,5,20200110,005000,1.11082,1.11089,1.11081,1.11084,0,0
EURUSD,5,20200110,005500,1.11084,1.11094,1.11078,1.11094,0,0
EURUSD,5,20200110,010000,1.11094,1.11094,1.11077,1.11081,0,0
EURUSD,5,20200110,010500,1.1108,1.11081,1.11078,1.1108,0,0
EURUSD,5,20200110,011000,1.11079,1.1108,1.11069,1.11069,0,0
EURUSD,5,20200110,011500,1.11069,1.11074,1.11069,1.11074,0,0
EURUSD,5,20200110,012000,1.11074,1.11074,1.11068,1.1107,0,0
EURUSD,5,20200110,012500,1.11069,1.11073,1.11069,1.11073,0,0
EURUSD,5,20200110,013000,1.11072,1.11094,1.11072,1.11092,0,0
EURUSD,5,20200110,013500,1.11093,1.11093,1.11075,1.11075,0,0
EURUSD,5,20200110,014000,1.11074,1.11077,1.11066,1.11066,0,0
EURUSD,5,20200110,014500,1.11067,1.11074,1.11062,1.11064,0,0
EURUSD,5,20200110,015000,1.11064,1.11079,1.11063,1.11065,0,0
EURUSD,5,20200110,015500,1.11071,1.11072,1.11062,1.11071,0,0
EURUSD,5,20200110,020000,1.11071,1.11071,1.11061,1.11064,0,0
EURUSD,5,20200110,020500,1.11063,1.11074,1.11063,1.11074,0,0
EURUSD,5,20200110,021000,1.11074,1.11074,1.11062,1.11062,0,0
EURUSD,5,20200110,021500,1.11062,1.11064,1.11058,1.11063,0,0
EURUSD,5,20200110,022000,1.11063,1.11063,1.11058,1.11059,0,0
EURUSD,5,20200110,022500,1.11059,1.11071,1.11059,1.11064,0,0
EURUSD,5,20200110,023000,1.11067,1.11073,1.11066,1.11072,0,0
EURUSD,5,20200110,023500,1.11072,1.11075,1.11068,1.11069,0,0
EURUSD,5,20200110,024000,1.11069,1.11069,1.11052,1.11052,0,0
EURUSD,5,20200110,024500,1.1105,1.11051,1.11032,1.11032,0,0
EURUSD,5,20200110,025000,1.11025,1.11035,1.11025,1.11028,0,0
EURUSD,5,20200110,025500,1.11028,1.11056,1.11028,1.11043,0,0
EURUSD,5,20200110,030000,1.11044,1.11044,1.11039,1.11044,0,0
EURUSD,5,20200110,030500,1.11045,1.11054,1.11044,1.11054,0,0
EURUSD,5,20200110,031000,1.1105,1.11054,1.11043,1.1105,0,0
EURUSD,5,20200110,031500,1.1105,1.1105,1.11041,1.11047,0,0
EURUSD,5,20200110,032000,1.11049,1.11052,1.11037,1.11045,0,0
EURUSD,5,20200110,032500,1.11046,1.11048,1.11043,1.11045,0,0
EURUSD,5,20200110,033000,1.11045,1.11048,1.11037,1.11038,0,0
EURUSD,5,20200110,033500,1.1104,1.1105,1.11039,1.11049,0,0
EURUSD,5,20200110,034000,1.11048,1.11053,1.11047,1.11048,0,0
EURUSD,5,20200110,034500,1.11048,1.11055,1.11048,1.11054,0,0
EURUSD,5,20200110,035000,1.11055,1.11079,1.11054,1.11079,0,0
EURUSD,5,20200110,035500,1.11078,1.11084,1.11077,1.11083,0,0
EURUSD,5,20200110,040000,1.11082,1.11083,1.11074,1.11078,0,0
EURUSD,5,20200110,040500,1.11077,1.11078,1.11073,1.11078,0,0
EURUSD,5,20200110,041000,1.11095,1.11095,1.11065,1.11075,0,0
EURUSD,5,20200110,041500,1.11077,1.11084,1.11075,1.11083,0,0
EURUSD,5,20200110,042000,1.11083,1.11089,1.11083,1.11084,0,0
EURUSD,5,20200110,042500,1.11084,1.11085,1.11074,1.11075,0,0
EURUSD,5,20200110,043000,1.11079,1.11079,1.11074,1.11074,0,0
EURUSD,5,20200110,043500,1.11074,1.1108,1.1107,1.11079,0,0
EURUSD,5,20200110,044000,1.11078,1.11084,1.11077,1.11077,0,0
EURUSD,5,20200110,044500,1.11078,1.11084,1.11077,1.11078,0,0
EURUSD,5,20200110,045000,1.11078,1.11079,1.11077,1.11079,0,0
EURUSD,5,20200110,045500,1.11078,1.11083,1.11076,1.11083,0,0
EURUSD,5,20200110,050000,1.11083,1.11083,1.11072,1.11076,0,0
EURUSD,5,20200110,050500,1.11072,1.11078,1.11066,1.11077,0,0
EURUSD,5,20200110,051000,1.11077,1.11083,1.11076,1.11083,0,0
EURUSD,5,20200110,051500,1.11084,1.11084,1.11072,1.11073,0,0
EURUSD,5,20200110,052000,1.11077,1.11089,1.11076,1.11088,0,0
EURUSD,5,20200110,052500,1.11089,1.11105,1.11086,1.11087,0,0
EURUSD,5,20200110,053000,1.11087,1.11112,1.11086,1.11102,0,0
EURUSD,5,20200110,053500,1.11099,1.11099,1.11082,1.11082,0,0
EURUSD,5,20200110,054000,1.11083,1.11095,1.11075,1.11082,0,0
EURUSD,5,20200110,054500,1.11082,1.11082,1.11071,1.11072,0,0
EURUSD,5,20200110,055000,1.11071,1.11076,1.11065,1.11076,0,0
EURUSD,5,20200110,055500,1.11076,1.11095,1.11075,1.11076,0,0
EURUSD,5,20200110,060000,1.1105,1.1108,1.1105,1.11076,0,0
EURUSD,5,20200110,060500,1.11076,1.11081,1.11072,1.11077,0,0
EURUSD,5,20200110,061000,1.11077,1.11083,1.11076,1.1108,0,0
EURUSD,5,20200110,061500,1.1108,1.11088,1.11078,1.11086,0,0
